date,county,state,county_id,cases,deaths
2020-07-01,Autauga,Alabama,1001,553,12
2020-07-01,Baldwin,Alabama,1003,703,10
2020-07-01,Barbour,Alabama,1005,326,1
2020-07-01,Bibb,Alabama,1007,174,1
2020-07-01,Blount,Alabama,1009,218,1
2020-07-01,Bullock,Alabama,1011,367,10
2020-07-01,Butler,Alabama,1013,607,27
2020-07-01,Calhoun,Alabama,1015,278,5
2020-07-01,Chambers,Alabama,1017,595,27
2020-07-01,Cherokee,Alabama,1019,77,7
2020-07-01,Chilton,Alabama,1021,219,3
2020-07-01,Choctaw,Alabama,1023,193,12
2020-07-01,Clarke,Alabama,1025,267,5
2020-07-01,Clay,Alabama,1027,58,2
2020-07-01,Cleburne,Alabama,1029,29,1
2020-07-01,Coffee,Alabama,1031,358,2
2020-07-01,Colbert,Alabama,1033,377,5
2020-07-01,Conecuh,Alabama,1035,182,4
2020-07-01,Coosa,Alabama,1037,55,1
2020-07-01,Covington,Alabama,1039,317,8
2020-07-01,Crenshaw,Alabama,1041,127,3
2020-07-01,Cullman,Alabama,1043,411,3
2020-07-01,Dale,Alabama,1045,247,0
2020-07-01,Dallas,Alabama,1047,826,8
2020-07-01,DeKalb,Alabama,1049,609,5
2020-07-01,Elmore,Alabama,1051,829,14
2020-07-01,Escambia,Alabama,1053,263,6
2020-07-01,Etowah,Alabama,1055,634,13
2020-07-01,Fayette,Alabama,1057,70,1
2020-07-01,Franklin,Alabama,1059,856,13
2020-07-01,Geneva,Alabama,1061,67,0
2020-07-01,Greene,Alabama,1063,166,7
2020-07-01,Hale,Alabama,1065,298,21
2020-07-01,Henry,Alabama,1067,131,4
2020-07-01,Houston,Alabama,1069,449,6
2020-07-01,Jackson,Alabama,1071,242,3
2020-07-01,Jefferson,Alabama,1073,4436,144
2020-07-01,Lamar,Alabama,1075,72,1
2020-07-01,Lauderdale,Alabama,1077,446,6
2020-07-01,Lawrence,Alabama,1079,104,0
2020-07-01,Lee,Alabama,1081,1211,38
2020-07-01,Limestone,Alabama,1083,413,0
2020-07-01,Lowndes,Alabama,1085,463,21
2020-07-01,Macon,Alabama,1087,172,8
2020-07-01,Madison,Alabama,1089,1084,8
2020-07-01,Marengo,Alabama,1091,287,11
2020-07-01,Marion,Alabama,1093,208,12
2020-07-01,Marshall,Alabama,1095,1548,10
2020-07-01,Mobile,Alabama,1097,3724,138
2020-07-01,Monroe,Alabama,1099,198,2
2020-07-01,Montgomery,Alabama,1101,3890,102
2020-07-01,Morgan,Alabama,1103,993,3
2020-07-01,Perry,Alabama,1105,145,1
2020-07-01,Pickens,Alabama,1107,212,6
2020-07-01,Pike,Alabama,1109,407,5
2020-07-01,Randolph,Alabama,1111,172,9
2020-07-01,Russell,Alabama,1113,489,0
2020-07-01,Shelby,Alabama,1117,1103,23
2020-07-01,St. Clair,Alabama,1115,314,2
2020-07-01,Sumter,Alabama,1119,277,12
2020-07-01,Talladega,Alabama,1121,275,8
2020-07-01,Tallapoosa,Alabama,1123,570,70
2020-07-01,Tuscaloosa,Alabama,1125,2071,40
2020-07-01,Walker,Alabama,1127,880,23
2020-07-01,Washington,Alabama,1129,103,7
2020-07-01,Wilcox,Alabama,1131,282,8
2020-07-01,Winston,Alabama,1133,235,3
2020-07-01,Aleutians East Borough,Alaska,2013,2,0
2020-07-01,Aleutians West Census Area,Alaska,2016,4,0
2020-07-01,Anchorage,Alaska,2020,504,6
2020-07-01,Bethel Census Area,Alaska,2050,11,0
2020-07-01,Bristol Bay Borough,Alaska,2060,26,0
2020-07-01,Denali Borough,Alaska,2068,1,0
2020-07-01,Dillingham Census Area,Alaska,2070,18,0
2020-07-01,Fairbanks North Star Borough,Alaska,2090,158,2
2020-07-01,Haines Borough,Alaska,2100,5,0
2020-07-01,Juneau City and Borough,Alaska,2110,48,2
2020-07-01,Kenai Peninsula Borough,Alaska,2122,164,1
2020-07-01,Ketchikan Gateway Borough,Alaska,2130,30,0
2020-07-01,Kodiak Island Borough,Alaska,2150,7,0
2020-07-01,Lake and Peninsula Borough,Alaska,2164,3,0
2020-07-01,Matanuska-Susitna Borough,Alaska,2170,91,1
2020-07-01,Nome Census Area,Alaska,2180,10,0
2020-07-01,North Slope Borough,Alaska,2185,4,0
2020-07-01,Northwest Arctic Borough,Alaska,2188,5,0
2020-07-01,Petersburg Borough,Alaska,2195,4,0
2020-07-01,Prince of Wales-Hyder Census Area,Alaska,2198,3,0
2020-07-01,Sitka City and Borough,Alaska,2220,17,0
2020-07-01,Southeast Fairbanks Census Area,Alaska,2240,14,0
2020-07-01,Unknown,Alaska,,13,0
2020-07-01,Valdez-Cordova Census Area,Alaska,2261,21,0
2020-07-01,Wrangell City and Borough,Alaska,2275,8,0
2020-07-01,Yukon-Koyukuk Census Area,Alaska,2290,3,0
2020-07-01,Apache,Arizona,4001,2381,90
2020-07-01,Cochise,Arizona,4003,663,12
2020-07-01,Coconino,Arizona,4005,1941,94
2020-07-01,Gila,Arizona,4007,309,6
2020-07-01,Graham,Arizona,4009,108,2
2020-07-01,Greenlee,Arizona,4011,18,1
2020-07-01,La Paz,Arizona,4012,345,5
2020-07-01,Maricopa,Arizona,4013,52266,817
2020-07-01,Mohave,Arizona,4015,1142,87
2020-07-01,Navajo,Arizona,4017,3703,130
2020-07-01,Pima,Arizona,4019,8387,280
2020-07-01,Pinal,Arizona,4021,3777,71
2020-07-01,Santa Cruz,Arizona,4023,1823,23
2020-07-01,Yavapai,Arizona,4025,791,10
2020-07-01,Yuma,Arizona,4027,6498,98
2020-07-01,Arkansas,Arkansas,5001,31,0
2020-07-01,Ashley,Arkansas,5003,74,1
2020-07-01,Baxter,Arkansas,5005,20,0
2020-07-01,Benton,Arkansas,5007,2752,19
2020-07-01,Boone,Arkansas,5009,27,1
2020-07-01,Bradley,Arkansas,5011,52,2
2020-07-01,Carroll,Arkansas,5015,168,5
2020-07-01,Chicot,Arkansas,5017,139,3
2020-07-01,Clark,Arkansas,5019,57,0
2020-07-01,Clay,Arkansas,5021,59,3
2020-07-01,Cleburne,Arkansas,5023,92,4
2020-07-01,Cleveland,Arkansas,5025,26,0
2020-07-01,Columbia,Arkansas,5027,84,4
2020-07-01,Conway,Arkansas,5029,60,3
2020-07-01,Craighead,Arkansas,5031,453,7
2020-07-01,Crawford,Arkansas,5033,166,1
2020-07-01,Crittenden,Arkansas,5035,749,13
2020-07-01,Cross,Arkansas,5037,86,1
2020-07-01,Dallas,Arkansas,5039,10,0
