date,county,state,county_id,cases,deaths
2020-06-01,Autauga,Alabama,1001,234,5
2020-06-01,Baldwin,Alabama,1003,306,9
2020-06-01,Barbour,Alabama,1005,173,1
2020-06-01,Bibb,Alabama,1007,79,1
2020-06-01,Blount,Alabama,1009,65,1
2020-06-01,Bullock,Alabama,1011,210,6
2020-06-01,Butler,Alabama,1013,416,18
2020-06-01,Calhoun,Alabama,1015,172,3
2020-06-01,Chambers,Alabama,1017,370,25
2020-06-01,Cherokee,Alabama,1019,39,3
2020-06-01,Chilton,Alabama,1021,107,1
2020-06-01,Choctaw,Alabama,1023,154,10
2020-06-01,Clarke,Alabama,1025,147,2
2020-06-01,Clay,Alabama,1027,28,2
2020-06-01,Cleburne,Alabama,1029,15,1
2020-06-01,Coffee,Alabama,1031,241,1
2020-06-01,Colbert,Alabama,1033,189,2
2020-06-01,Conecuh,Alabama,1035,41,1
2020-06-01,Coosa,Alabama,1037,40,1
2020-06-01,Covington,Alabama,1039,86,1
2020-06-01,Crenshaw,Alabama,1041,78,3
2020-06-01,Cullman,Alabama,1043,150,1
2020-06-01,Dale,Alabama,1045,124,0
2020-06-01,Dallas,Alabama,1047,279,3
2020-06-01,DeKalb,Alabama,1049,253,3
2020-06-01,Elmore,Alabama,1051,373,8
2020-06-01,Escambia,Alabama,1053,72,3
2020-06-01,Etowah,Alabama,1055,264,12
2020-06-01,Fayette,Alabama,1057,18,0
2020-06-01,Franklin,Alabama,1059,565,8
2020-06-01,Geneva,Alabama,1061,43,0
2020-06-01,Greene,Alabama,1063,95,4
2020-06-01,Hale,Alabama,1065,179,9
2020-06-01,Henry,Alabama,1067,80,2
2020-06-01,Houston,Alabama,1069,231,4
2020-06-01,Jackson,Alabama,1071,84,2
2020-06-01,Jefferson,Alabama,1073,1886,104
2020-06-01,Lamar,Alabama,1075,26,0
2020-06-01,Lauderdale,Alabama,1077,167,2
2020-06-01,Lawrence,Alabama,1079,51,0
2020-06-01,Lee,Alabama,1081,565,33
2020-06-01,Limestone,Alabama,1083,110,0
2020-06-01,Lowndes,Alabama,1085,254,12
2020-06-01,Macon,Alabama,1087,86,4
2020-06-01,Madison,Alabama,1089,363,4
2020-06-01,Marengo,Alabama,1091,172,6
2020-06-01,Marion,Alabama,1093,126,11
2020-06-01,Marshall,Alabama,1095,704,9
2020-06-01,Mobile,Alabama,1097,2280,118
2020-06-01,Monroe,Alabama,1099,43,2
2020-06-01,Montgomery,Alabama,1101,1778,44
2020-06-01,Morgan,Alabama,1103,292,1
2020-06-01,Perry,Alabama,1105,42,0
2020-06-01,Pickens,Alabama,1107,118,4
2020-06-01,Pike,Alabama,1109,207,0
2020-06-01,Randolph,Alabama,1111,130,7
2020-06-01,Russell,Alabama,1113,176,0
2020-06-01,Shelby,Alabama,1117,541,20
2020-06-01,St. Clair,Alabama,1115,135,1
2020-06-01,Sumter,Alabama,1119,225,7
2020-06-01,Talladega,Alabama,1121,122,5
2020-06-01,Tallapoosa,Alabama,1123,432,65
2020-06-01,Tuscaloosa,Alabama,1125,808,16
2020-06-01,Walker,Alabama,1127,380,2
2020-06-01,Washington,Alabama,1129,73,6
2020-06-01,Wilcox,Alabama,1131,151,7
2020-06-01,Winston,Alabama,1133,91,0
2020-06-01,Anchorage,Alaska,2020,235,4
2020-06-01,Bethel Census Area,Alaska,2050,3,0
2020-06-01,Bristol Bay Borough,Alaska,2060,1,0
2020-06-01,Dillingham Census Area,Alaska,2070,1,0
2020-06-01,Fairbanks North Star Borough,Alaska,2090,85,2
2020-06-01,Juneau City and Borough,Alaska,2110,33,0
2020-06-01,Kenai Peninsula Borough,Alaska,2122,52,1
2020-06-01,Ketchikan Gateway Borough,Alaska,2130,16,0
2020-06-01,Kodiak Island Borough,Alaska,2150,1,0
2020-06-01,Matanuska-Susitna Borough,Alaska,2170,29,1
2020-06-01,Nome Census Area,Alaska,2180,3,0
2020-06-01,North Slope Borough,Alaska,2185,1,0
2020-06-01,Northwest Arctic Borough,Alaska,2188,2,0
2020-06-01,Petersburg Borough,Alaska,2195,3,0
2020-06-01,Prince of Wales-Hyder Census Area,Alaska,2198,2,0
2020-06-01,Sitka City and Borough,Alaska,2220,2,0
2020-06-01,Southeast Fairbanks Census Area,Alaska,2240,3,0
2020-06-01,Unknown,Alaska,,1,0
2020-06-01,Valdez-Cordova Census Area,Alaska,2261,2,0
2020-06-01,Yukon-Koyukuk Census Area,Alaska,2290,1,0
2020-06-01,Apache,Arizona,4001,1526,39
2020-06-01,Cochise,Arizona,4003,76,3
2020-06-01,Coconino,Arizona,4005,1155,81
2020-06-01,Gila,Arizona,4007,31,2
2020-06-01,Graham,Arizona,4009,32,2
2020-06-01,Greenlee,Arizona,4011,6,1
2020-06-01,La Paz,Arizona,4012,79,2
2020-06-01,Maricopa,Arizona,4013,9937,433
2020-06-01,Mohave,Arizona,4015,403,45
2020-06-01,Navajo,Arizona,4017,1873,64
2020-06-01,Pima,Arizona,4019,2382,185
2020-06-01,Pinal,Arizona,4021,865,40
2020-06-01,Santa Cruz,Arizona,4023,330,0
2020-06-01,Yavapai,Arizona,4025,297,6
2020-06-01,Yuma,Arizona,4027,1131,15
2020-06-01,Arkansas,Arkansas,5001,7,0
2020-06-01,Ashley,Arkansas,5003,19,0
2020-06-01,Baxter,Arkansas,5005,12,0
2020-06-01,Benton,Arkansas,5007,607,2
2020-06-01,Boone,Arkansas,5009,6,0
2020-06-01,Bradley,Arkansas,5011,22,1
2020-06-01,Carroll,Arkansas,5015,25,1
2020-06-01,Chicot,Arkansas,5017,15,0
2020-06-01,Clark,Arkansas,5019,39,0
2020-06-01,Clay,Arkansas,5021,4,0
2020-06-01,Cleburne,Arkansas,5023,74,4
2020-06-01,Cleveland,Arkansas,5025,19,0
2020-06-01,Columbia,Arkansas,5027,23,2
2020-06-01,Conway,Arkansas,5029,14,1
