--COUNTIES APPEAR MULTIPLE TIME CAUSING ISSUE OF DUPLICATE KEYS
--WILL NEED TO COMBINE DUPLICATE COUNTIES INTO 1 ROW EACH - ADDING UP CASES AND DEATHS
--WILL NEED TO COMBINE DATA FROM ALL MONTHS INTO ONE FILE (WITH THE SUM OF ALL CASES AND DEATHS)

county_id,	county,	state,	cases,	deaths
1001,	"Autauga",	"Alabama",	42,	3
1003,	"Baldwin",	"Alabama",	175,	4
1005,	"Barbour",	"Alabama",	42,	1
1007,	"Bibb",	"Alabama",	42,	0
1009,	"Blount",	"Alabama",	39,	0
1011,	"Bullock",	"Alabama",	14,	0
1013,	"Butler",	"Alabama",	65,	1
1015,	"Calhoun",	"Alabama",	93,	3
1017,	"Chambers",	"Alabama",	290,	21
1019,	"Cherokee",	"Alabama",	15,	0
1021,	"Chilton",	"Alabama",	52,	1
1023,	"Choctaw",	"Alabama",	49,	0
1025,	"Clarke",	"Alabama",	34,	1
1027,	"Clay",	"Alabama",	21,	1
1029,	"Cleburne",	"Alabama",	12,	1
1031,	"Coffee",	"Alabama",	117,	0
1033,	"Colbert",	"Alabama",	33,	2
1035,	"Conecuh",	"Alabama",	9,	0
1037,	"Coosa",	"Alabama",	29,	1
1039,	"Covington",	"Alabama",	38,	1
1041,	"Crenshaw",	"Alabama",	19,	0
1043,	"Cullman",	"Alabama",	57,	0
1045,	"Dale",	"Alabama",	27,	0
1047,	"Dallas",	"Alabama",	42,	3
1049,	"DeKalb",	"Alabama",	76,	2
1051,	"Elmore",	"Alabama",	88,	2
1053,	"Escambia",	"Alabama",	29,	2
1055,	"Etowah",	"Alabama",	139,	10
1057,	"Fayette",	"Alabama",	6,	0
1059,	"Franklin",	"Alabama",	78,	0
1061,	"Geneva",	"Alabama",	9,	0
1063,	"Greene",	"Alabama",	54,	1
1065,	"Hale",	"Alabama",	50,	2
1067,	"Henry",	"Alabama",	24,	1
1069,	"Houston",	"Alabama",	90,	4
1071,	"Jackson",	"Alabama",	49,	2
1073,	"Jefferson",	"Alabama",	929,	48
1075,	"Lamar",	"Alabama",	11,	0
1077,	"Lauderdale",	"Alabama",	50,	2
1079,	"Lawrence",	"Alabama",	13,	0
1081,	"Lee",	"Alabama",	391,	29
1083,	"Limestone",	"Alabama",	44,	0
1085,	"Lowndes",	"Alabama",	67,	1
1087,	"Macon",	"Alabama",	37,	2
1089,	"Madison",	"Alabama",	225,	4
1091,	"Marengo",	"Alabama",	52,	3
1093,	"Marion",	"Alabama",	78,	6
1095,	"Marshall",	"Alabama",	328,	7
1097,	"Mobile",	"Alabama",	1099,	61
1099,	"Monroe",	"Alabama",	13,	1
1101,	"Montgomery",	"Alabama",	355,	6
1103,	"Morgan",	"Alabama",	71,	0
1105,	"Perry",	"Alabama",	10,	0
1107,	"Pickens",	"Alabama",	50,	2
1109,	"Pike",	"Alabama",	69,	0
1111,	"Randolph",	"Alabama",	62,	4
1113,	"Russell",	"Alabama",	60,	0
1117,	"Shelby",	"Alabama",	320,	13
1115,	"St. Clair",	"Alabama",	73,	0
1119,	"Sumter",	"Alabama",	68,	3
1121,	"Talladega",	"Alabama",	61,	2
1123,	"Tallapoosa",	"Alabama",	286,	18
1125,	"Tuscaloosa",	"Alabama",	210,	2
1127,	"Walker",	"Alabama",	97,	0
1129,	"Washington",	"Alabama",	35,	2
1131,	"Wilcox",	"Alabama",	67,	3
